sample_idx,0,1,2,3,4,5,status
0,0.5802503135466826,0.11100375572959131,,0.9428700955503573,-0.4002438788641013,-0.11064569678444114,train
1,,0.5644239254514036,,0.20881035064379816,1.0662463610512973,1.0373739527734565,train
2,0.21130977375137883,,0.35491918288835356,,0.3447246256570953,,train
3,,0.12810168184412588,,-0.3008929660975778,0.6655862001819457,,train
4,0.5077125147129296,,,0.8914811811927121,0.9535486582381814,,train
5,,0.7276224892381222,,0.4440291581640732,1.1478183746084558,1.4166642531827718,train
6,0.11551759030433112,,-0.32758381575664125,,0.48375869334765986,,train
7,-0.22799718082900616,,,,0.4777032722450646,0.1819753685288614,train
8,,,1.3931809220347744,,0.5571269041976381,,train
9,,1.301099326298261,,2.242165531878838,,,train
10,-0.694125744112337,-0.04317381484942942,0.07174377210952863,,0.38543458284198473,,train
11,-0.4076754814194419,,0.05960147724860502,,,,train
12,,,0.5296208626532902,0.7724631128230237,,0.5810692655522587,train
13,,1.1022640846455714,1.4297155035057914,,1.0269090428209833,,train
14,,0.005977291608440266,,,-0.06580292872546432,-0.0750397360848992,train
15,0.6095321838867184,,-0.14272547844820827,0.007173355113254121,-0.6765070343735474,-0.557066653140792,train
16,,0.34478097014538656,0.9318644353429207,,,,train
17,0.45812903757607315,1.1053093942832355,0.22640229711556548,,0.25379956597387543,,train
18,0.08855118862406666,,-0.26208579429345813,,-0.6837588238630203,,train
19,0.012806081983156734,,-0.04801645748511055,-0.15924319394500386,,-0.20832574756126554,train
20,,,0.6300069021949412,,,0.7482512550716534,train
21,1.0446328941124317,-0.07934748052285145,,-0.07808618210735618,0.21887328459600697,-0.2707092628255514,train
22,-0.10888756552222553,-0.5141269674026528,,,,-0.0804043870094715,train
23,0.6606257931501869,1.059948729557578,-0.23134044294504064,,-1.3777377601484753,-0.23487219326997685,train
24,0.09572740514133948,0.36273455434101803,0.16191750241184732,0.37903446294128373,,,train
25,,,,0.492496012925413,0.7376373966713622,1.6509695958623092,train
26,0.2898052937392041,,,-0.5176967284793534,-0.33834945003686057,-0.21521114251170587,train
27,,,,-0.9129981425036404,0.0321585042836105,,train
28,,0.6981087125737542,,0.828260404536403,0.4453697756198709,,train
29,,,2.113427913977916,,,,train
30,1.2857612911465341,,,1.15792322937747,,,train
31,-0.10833275999855446,,,0.5422784620627991,0.628105583932744,-0.2854657005541904,train
32,,1.4232378859613648,,0.219391805496698,,0.5180178423718081,train
33,,,1.0402002476340553,1.521221006235048,0.925294934586169,,train
34,-0.8256413603579809,,-0.40206982373171085,,,,train
35,,,,-0.5439841372930401,-0.39857624153474125,0.25564393138227975,train
36,0.7114569957202044,1.1317487074757993,,,,,train
37,,-0.0005933791735103222,0.4516100663560425,0.5067230212342126,,1.3613038327019398,train
38,-0.7807082347887593,,,,-0.2963939666745816,,train
39,-0.47371975710849556,-0.47637063368990673,,,-0.7471379302594031,,train
40,,0.5153960263559629,-0.40031921194118325,-0.2584186183305336,,-0.09783801977913079,train
41,-0.241814927716357,,1.685357588307884,-0.3256540285362499,,,train
42,,-0.7574625146986197,,-0.07802190934580788,,-0.5552115367529175,train
43,-0.369811205268662,,-0.6043181941774822,,-0.29824458188969727,,train
44,0.37936920185734935,,,0.29332865389112067,0.19968028027573126,0.17750545196791612,train
45,,,,,,,train
46,-0.7975814296802721,,-0.014051664006068498,,-0.29340854877830014,,train
47,,,-1.100357278381147,,,,train
48,0.5404106404432136,,,,,-0.6164205867205574,train
49,,1.088052430738616,,,,,train
50,,-1.3909929230251694,-0.4301141507974996,,,,train
51,,,,,,,train
52,0.7908382550628865,,0.2842022882755625,,,-0.41208376371384137,train
53,,-0.13255859219026903,0.6998645857100106,,,0.7325028650685983,train
54,,-0.13919022035944795,-1.4169481961816772,,-1.1086017151794898,,train
55,0.5972979077359355,,,-0.7854388125161005,,-0.81970361731479,train
56,-0.17017166853048038,0.3280167418885376,0.6399455711264351,,-0.9708364626966064,0.2791753081883668,train
57,,,,-0.5312569657880253,0.23080177930061732,0.8264583464828597,train
58,,0.6178426665025047,,,,,train
