column,n_total,n_missing,missing_ratio_actual,n_observed,mean,std,min,25%,50%,75%,max
0,200,117,0.585,83,-0.051485268571026824,0.6100242755115369,-1.2492787148280298,-0.4834310157567798,-0.0173103496837636,0.2893392531706992,1.465780493435465
1,200,122,0.61,78,0.026322293617782346,0.6262272751775806,-1.346440840579341,-0.4553479906151455,-0.012253720292162248,0.5057815659410871,1.350554599491796
2,200,119,0.595,81,0.006236378757722964,0.6574181195131508,-1.1463132118848098,-0.4493558374956682,-0.1355103264269863,0.4197507941732653,2.167674912851218
3,200,133,0.665,67,0.09280317273247209,0.6752695476846575,-1.4716495970696748,-0.3356134257897838,0.0281714676397948,0.4967238710491604,2.305969021011485
4,200,114,0.57,86,0.006759256179040235,0.614375809209153,-1.7429555323137955,-0.3999288917047958,0.01746621387621295,0.47120672559033305,1.4391411157569804
5,200,119,0.595,81,0.0025901983742114597,0.6047974003139102,-1.4377431438706163,-0.3257115691678278,-0.034964004255392,0.293553086632001,1.827542054209638
