sample_idx,0,1,2,3,4,5,status
0,0.24418212548952423,-0.2632438570744233,0.6130462494540772,0.6296002840856652,-0.7581445596001484,-0.4553712620991799,train
1,0.22991092852248385,0.1567241137013029,,-0.15396146357344276,0.6642162890538794,0.6138533719921877,train
2,0.2036879982435683,,0.37628393799843396,-0.3072715812541498,0.32684408564440826,-0.3029140930380624,train
3,,0.07078445221202229,,-0.3047946215230278,0.6577559390857024,,train
4,0.18397461743437038,,0.7483442217170055,0.5979775667669505,0.6214549906804567,,train
5,1.035409140456454,0.06082179298933621,,-0.18332832929972986,0.4652815652759168,0.7040563475564241,train
6,-0.03107409713668932,-0.38570730994452823,-0.44471801910555764,0.2517175559433487,0.33972249568221036,0.24765600905827378,train
7,-0.257319374778502,,,0.06517654435076262,0.4247749110975597,0.11991496143468727,train
8,,,1.154693110470268,,0.26127903511288264,0.8038051889454934,train
9,0.5040154173884348,0.5561523771789345,,1.552045034099711,0.39649671125105224,,train
10,-0.671658063229629,-0.11176574546644105,0.06976880995758246,,0.37501639024888345,,train
11,-0.40272038728517257,,0.056947412901869804,,,,train
12,-0.09573910851462297,,0.4395635249181269,0.6526562674588143,,0.4168812591200072,train
13,,0.7182725359099644,1.14302048811139,0.5141884340318492,0.6462368319901364,,train
14,,0.05756845543898309,-0.47182293913898665,,0.04636728457927658,0.034123287859629925,train
15,0.6712910915209914,0.19496334423784278,-0.03960038887037631,0.12695554294027533,-0.5435613644856795,-0.4237263634868115,train
16,,0.015815788927498797,0.6803823522515611,,,1.078962428064861,train
17,0.19616559413120083,0.8090935954231264,0.024189481409893077,,-0.03352986345906417,0.2546329569796768,train
18,0.32016190998053323,,-0.02673110694074221,,-0.44321254589236025,-0.8450212221941777,train
19,0.0010913862596435564,,-0.04420927165038588,-0.16301656897427547,,-0.2128233754582579,train
20,,,0.41711200364223033,0.9204863923745996,,0.46236302507128757,train
21,1.0448099363110135,-0.11603406649263048,,-0.05656608144694453,0.21948034204341604,-0.2511093339534318,train
22,0.0003380445990096015,-0.4761682951154107,,,-0.23183979936739574,0.02206280441884667,train
23,0.8150261652585151,1.1940369545920675,-0.03668498525962616,-0.7323740676656003,-1.1905695389889175,-0.04701908800656324,train
24,-0.1510956557758224,0.07058431366388995,-0.04759359356092607,0.14025486515683994,0.7388467771252759,,train
25,-0.021760924183493513,-0.31013279260556326,-0.6413843267637886,-0.11164460893930772,0.0914515259907287,0.9557377905528794,train
26,0.36872067773449135,,-0.07886615086865884,-0.4200735006706062,-0.22871242276160686,-0.1098082378576139,train
27,,,0.061714624481645664,-0.7983577789270382,0.16063572055476155,-0.094547780668783,train
28,,0.4784851039241893,0.17796766308817802,0.6651570598594101,0.2524451720384827,,train
29,,1.117080104142259,1.858150722785593,,,,train
30,0.823882421944228,0.40396259361596476,0.10267099435458737,0.7854016333548307,,,train
31,-0.035618500258222,-0.6996857315342557,,0.598633196281052,0.6664609474027433,-0.23628915012289464,train
32,,1.2415038989876312,0.01852861630645697,0.07797487987962759,,0.34086636052283237,train
33,,,1.0429428081315328,1.4845226025830502,0.8428062724105612,,train
34,-0.7412153707981238,,-0.3550376500599104,,,-0.030560550292596633,train
