sample_idx,f1,f2,f3,f4,status
0,-0.14598733802143582,-0.05875394717673943,-0.47070165711690504,0.5096766429029695,train
1,-0.5465755397205738,0.355782385672889,-0.23762601416884943,0.770697980305111,train
2,-0.7767415175813327,0.3359339780102663,-0.7870004195733751,1.4304623391321647,train
3,0.12484120452291292,-0.04834133534887408,0.14145570111433822,0.009213256591017821,train
4,0.10590715969803544,0.006667674719162409,0.24625746845031427,-0.2987093050524487,train
5,-0.3865439138224785,0.4987633569142621,0.486434187202602,-0.09394444123572675,train
6,0.05295968530046524,0.009387632596670636,0.13917313802557313,-0.16133165029433985,train
7,0.20237931978976031,0.02654095768020355,-0.017753154029801932,0.019953044612995074,train
8,0.03505130768559045,0.08461235819744152,-0.1744036286845237,0.3305411140576246,train
9,0.4273826398049425,-0.6859149201379795,-0.8938851048186763,0.20290335130575632,train
10,0.18133351997077063,0.046082388432040884,0.5134404827966496,-0.014980221903145297,train
11,-0.08769741484626153,-0.39696469260148115,0.09349420833467592,-0.6455219687639568,train
12,0.3906461278945473,0.015522975893035307,-0.6255983912270586,0.07049896815025737,train
13,-0.19937042360762192,0.25535442121461294,0.24587014063719015,0.0330159061396762,train
14,0.017528310275490067,0.7375283502997804,1.553507306599613,-0.12206032829187274,train
15,0.26368666626502946,-0.3660152225297547,-0.400087502045846,0.0733073873551674,train
16,0.5214163501626042,0.04582328989789025,-0.22490757551179869,0.06161991098878811,train
17,0.6502300814950834,0.10472257105862814,-0.0027592409493269188,-0.4744916355039741,train
18,0.27537974050865177,0.07677021958451835,0.2772745889892404,-0.5058448433313366,train
19,0.06228748634058273,0.4536789949148303,0.01369915889602838,0.16706647338460967,train
20,0.20444533004040988,-0.09905535670814358,0.17898398750632627,-0.35549978997272325,train
21,-0.565797846766483,0.5576476332324916,0.25544766597647967,0.42369621679699343,train
22,-0.6281466072019011,0.8989159892139855,1.0245901798309334,-0.08245242361477309,train
23,-0.48671458078712193,0.7191797083473042,0.8539065258424563,-0.10866025051827755,train
24,-0.05729173044902747,0.22993468533347972,0.4852322934866549,-0.0434206365950314,train
25,0.07886277036626321,-0.10891866754162577,-0.6135526582262806,1.1880550288333007,train
26,-0.19490761536989518,0.27776323734862385,0.31484452787402023,-0.05249740753025363,train
27,-0.2331277530832528,-0.05534250727138024,-0.1974404778785977,0.4004099276437041,train
28,0.10154399919249069,-0.07767299548109663,0.013494688794196491,0.014993712308318391,train
29,-0.1229457233906199,0.4035247912853949,0.8032069797360519,-0.4657739723375192,train
30,-0.08578036537530029,0.004371509805888074,-0.17358060690063243,0.0018799461946594487,train
31,0.11769364248120262,0.24756299433424478,-0.7057449947105903,1.2112625890947766,train
32,0.03771041264793565,-0.04116115991839034,-0.4707037431989636,0.5331121810803767,train
33,-0.19387481374995283,-0.13320283534657062,-0.7712169684926002,0.034754515357722116,train
34,-0.3821138451935941,0.16430258184976576,-0.38969848084052067,0.7056017284883525,train
35,0.3901881320720719,0.14677173293412277,0.8968754547393019,-1.092761229327117,train
36,0.3041754466119093,-0.12674596450628328,0.320923175069708,-0.5696732276040157,train
37,0.2957373441686335,-0.010229771284623768,0.611259333871908,-0.7771253644559952,train
38,-0.31787261053019034,0.2912351736954766,0.08509999002817648,0.281619315259847,train
39,-0.203360262497296,0.11395781385561499,-0.13717825384197324,0.3231314265726616,train
40,-0.03419798768510311,0.04818637672012177,0.0012100768066266726,-0.006119818586918931,train
41,-1.1004092967025638,0.49552814141848245,-1.063011557730351,1.9877902983260376,train
42,0.09178330748762975,0.33820869703561346,-0.0396928785911945,0.7639528903674307,train
43,0.3862755648149383,0.024806871124115337,-0.37731012199910324,0.05682984587130585,train
44,-0.3972294274461481,0.8981020369093919,1.5208694788654404,-0.7034192875907574,train
45,-0.0055049703373739045,0.3744396399353934,0.9796816474656587,-0.7249417826912259,train
46,0.050083979204292806,-0.06857654456084153,-0.36057051282422714,0.7351640525300972,train
47,0.07399157328459505,-0.19858471899648356,-0.3661669552394671,0.19285716794958807,train
48,0.09565644194758599,0.28476629585079966,-0.3899987017935684,0.8664298696986906,train
49,0.013983466284507806,-0.05417512651787443,-0.009860407442396218,0.0003132911353594999,train
50,0.7608695337484849,-0.8026541537198046,-0.48319406339906046,0.14879115651611824,train
51,0.6560668241901803,-1.355923686894063,-2.1745393083674736,0.9100909817675804,train
52,0.42428317428960405,-0.7594307041563584,-1.0952545136422343,0.3565055951671295,train
53,0.06297461214378763,-0.45650711944279443,-1.0729586188018485,0.7321395297185016,train
54,0.21729099322077267,-0.22622628600778505,0.003869748001813861,-0.13888020567103282,train
55,0.010122623020749608,-0.13422079006635856,-0.39469439139465967,0.3142199908164529,train
56,0.34018122545685486,-0.9101043924147756,-1.6757918016226228,0.8809399045754909,train
57,0.2833124598952825,-0.1510827394847785,0.21144351945395157,0.023163306736442513,train
58,0.15989004660100892,-0.437434206450513,-0.8132591300642673,0.43316364432823484,train
