sample_idx,0,1,2,3,4,5,status
0,0.2882606708235165,-0.2910154923638919,0.6310276463996449,0.6323740711105519,-0.7533117748263358,-0.4689392904648,train
1,-0.034420179277493634,-0.1736220620223905,0.03488602706482968,-0.466937688683152,0.3866950764795303,0.24271086251086849,train
2,0.03616970395476066,0.5361988167488507,0.22055181910977917,-0.479107097903981,0.15670271913042044,-0.4654573174418678,train
3,,0.011966529388516611,-0.06984539896284761,-0.35139008658353,0.618974142168628,-0.03291046183314003,train
4,0.21868193519894485,,0.7659869693932322,0.6031994547415196,0.6535696380423193,,train
5,0.7284731983072184,-0.32270716209204187,-0.28566352074638335,-0.5437816539805502,0.1493102958287067,0.2642414210367603,train
6,-0.023617112396247947,-0.4117078791712373,-0.4258892666669618,0.25498393132661923,0.3442853422384208,0.24705657025724342,train
7,-0.2501090813396437,,,0.06415900039870984,0.42657314310270844,0.12099015509609576,train
8,,,1.1676635211473236,,0.2761845722060865,0.7718118880164181,train
9,0.06806333464403358,0.07554811941312134,,1.0826265165215272,-0.05498633769875805,0.7121912579680401,train
10,-0.7237077921822391,-0.18689151013342986,0.025188610054442707,0.19877130659532727,0.31066904469835577,0.36422260253539224,train
11,-0.2530081142937834,,0.2142234401695848,,,-0.6562977681671958,train
12,-0.06358165052496745,,0.4614737354758961,0.6627577633631094,,0.4029808925611338,train
13,0.2695757841776687,-0.06398166287927243,0.39044975092022804,-0.26309027145734376,-0.1119637030806091,-0.20733102161857775,train
14,,0.1149636561208297,-0.389552316075962,-0.17788989754601323,0.10282222900163479,0.1189690656130333,train
15,0.6326681167844517,0.20215827370397232,-0.019611007213398257,0.13971625698355217,-0.5757227707156191,-0.36225688864367245,train
16,,-0.09317228839497183,0.6018927612489942,-0.0985744408382403,,0.9456990587589744,train
17,-0.03554458368089586,0.5452785003903591,-0.22111822266981673,0.052557017793643634,-0.2910165719847142,-0.052339887443811905,train
18,0.28832966380999847,,-0.01860868558498019,,-0.47904676508579,-0.7941069727822606,train
19,0.08082384095994252,-0.2749538770052967,0.0574499335447137,-0.07209876940244425,,-0.09544392167112103,train
