column,n_total,n_missing,missing_ratio_actual,n_observed,mean,std,min,25%,50%,75%,max
0,200,82,0.41,118,-0.04041913839629437,0.5124777175194819,-1.2998789803424784,-0.4010134931455658,-0.060897372247404005,0.2698804588937335,1.4086379176707935
1,200,84,0.42,116,0.017662383315970767,0.5577977418526855,-1.4427989499506055,-0.3641186890157094,-0.005955478934644201,0.3519021314277525,1.6880379227476394
2,200,80,0.4,120,-0.025482558671235382,0.5817165411805022,-1.459823799823877,-0.41816493568211566,-0.05367142343116025,0.2941003768619156,2.153443128569726
3,200,87,0.435,113,0.023955211029188142,0.5501397558605408,-1.4379040602754711,-0.3163197759171632,-0.0379971266896612,0.4182803699030045,1.5670115730591478
4,200,70,0.35,130,0.012889213049073941,0.5115199898348561,-1.3623707439334225,-0.29634845712270363,-0.02170812905875155,0.39719689694596216,1.1406985734496415
5,200,81,0.405,119,-0.005269146521158384,0.4998629597909796,-1.0799627933627718,-0.38186172910131944,-0.0201693994478681,0.2888995570612518,1.2565338697507806
