sample_idx,0,1,2,3,4,5,status
0,0.33105037618455846,-0.32327116108415255,0.5880904805629199,0.6051381754374838,-0.6988300232758423,-0.49513436986958115,train
1,0.4042384625527995,0.1810156060043162,0.3740103574768172,-0.10638548631253375,,0.6349280671276594,train
2,,0.6116532559515849,0.3004541333845655,-0.40263959141605943,0.28262959339913085,-0.399038987380737,train
3,0.34537613952404633,-0.08392976400241986,-0.1720882303013933,-0.4573562328758588,0.5555762580990886,-0.1511936039617426,train
4,-0.2565856119200993,-0.26200402987540405,0.20633510869759486,0.05502938953151015,0.19379790191432478,0.05024386682349635,train
5,0.8566657054572704,-0.37336015633347763,-0.3646463630514556,-0.5829278701430307,0.2558177732835678,0.2651173428052207,train
6,,-0.2650641155948279,-0.29489629254500055,0.3882588577980507,,0.3733113278627311,train
7,-0.3723652129501062,0.03837905292277932,-0.034626946431598415,-0.030477899351760707,0.3704599419774244,0.01441630101060809,train
8,0.34119806785604645,0.03157420040866854,0.18628078852758412,0.28305338310058703,-0.6224717015436185,-0.2113910274083486,train
9,-0.2144916974874942,-0.35090819366527404,-0.11600617766956756,0.6756628969968514,-0.3452502484132751,0.32734669987388587,train
10,-0.7532961589650342,-0.13436564048246336,0.07215807640105035,0.23717941402586973,,0.3897729843405032,train
11,0.041315946566815254,0.00730097747675118,0.6122647421820103,0.05253707870268398,-0.4205367597441474,-0.3002885612378432,train
12,-0.2786781365271743,0.36848087010182107,0.21986467884934546,0.4271632089119103,,0.16498643350940367,train
13,0.3593445474450436,-0.11446907688834518,0.3256869194258081,-0.3011778815368391,-0.025846542768742875,-0.22191532291652827,train
14,-0.5368121688006104,0.25483363884558297,-0.25385629526805076,-0.050606714184160295,,0.23071662404882937,train
15,,0.19572473601015883,-0.021654475921181526,0.11610828285376529,-0.6193361173606574,-0.42542530370681475,train
16,-0.30856529307643654,-0.1781698720483036,0.5134844944048079,-0.1883595200411895,,0.8672722984022856,train
17,0.014122405015166262,0.5063882485207534,-0.2674555315073157,0.029821790212642307,-0.2216940084149992,-0.06277477167972267,train
18,0.5707876583761918,-0.6039128041368829,0.38011891052302016,0.24578825098979173,-0.10984910962911398,-0.4473425513469378,train
19,0.031663679403431205,-0.2417755559626379,0.08501695276375351,-0.0579316852966445,,-0.10382959820851145,train
20,-0.39851162914009525,0.14422328777562543,0.1776142543955026,0.6761784323980364,,0.18945587911887796,train
21,1.125379277961475,-0.10549359425403992,0.17176779817823518,-0.026991913933398615,,-0.2288598660664034,train
22,0.3845225210998318,0.015355550956554054,-0.6710540925348644,-0.465112744904952,0.2376977506121245,0.5249651861748864,train
23,,1.3126843967731157,0.08434987325322368,-0.6409566233789623,-1.1382612638974163,0.05073925736036722,train
24,-0.3009583102936315,-0.13937329181271252,-0.23498638195866772,-0.054976793923315115,0.6335948280758856,0.09319733243572692,train
25,,-0.1196438693441555,-0.4198672592003696,0.10935635125668752,0.42819585419909156,1.1470850563748312,train
26,,0.5373239555711937,-0.21853399127627682,-0.5870385158238591,,-0.2737169845250005,train
27,0.8034887547030047,-0.5536335455853605,0.2014180229199372,-0.6902187424643379,0.2697672984007558,0.022051388392528848,train
28,0.10532081169649743,0.1467946337934516,-0.13786987686632313,0.3458179821323355,0.005750660762791071,-0.4523208215455379,train
29,-0.6424134566981912,-0.013713443830503325,0.7356160785480359,-0.041657900798473424,-0.057933122532240144,-0.025087066510459888,train
30,0.3060487885084522,-0.2301580379614414,-0.5158199729500554,0.17093364362399877,-0.04475723558270639,0.3308867899434116,train
31,0.041145031959677475,-0.6277757697904212,-0.7491858244349301,0.6962587518722579,0.8140104062320345,-0.1457708427444685,train
32,0.16215726522828455,1.0306884050944232,-0.18961687318387477,-0.13811655989991367,,0.10431445543220441,train
33,,0.009365580233545945,0.30730005344451805,0.7554480187475707,0.2326177668623377,0.3230451424322711,train
34,,0.12375432411472925,-0.3129381494559012,-0.5265419558612621,,-0.011212241463106565,train
35,0.4531488985337899,-0.5804891869314689,0.01997947314942139,-0.2677631220039541,-0.13021202998126857,0.5230413803268614,train
36,0.18924372290926783,0.5607856899304304,-0.14424099715082395,-0.4621379699616698,-0.13300526503150456,-0.001602931515200412,train
37,-0.19067939540505985,-0.833250100111629,-0.24173263400801615,-0.23652366641119893,1.0038249608244332,0.504760390845723,train
38,-0.2507420000518269,0.032964980927338794,-0.6192179544662837,-0.20945270061881094,0.2852356029149271,0.7470412983536043,train
39,-0.12255580612159245,-0.06436485212188892,-0.885207416097082,0.07540413624433595,,0.014192465560748158,train
40,-0.12854634228963133,0.24122487701725184,-0.6018835538848265,-0.4910357287707494,1.3471104054701073,-0.33610359451873617,train
41,-0.6080625967092521,0.7513873787194428,1.325153692390655,-0.7486376954520287,,0.004319880067574111,train
42,0.7118726623150562,-0.5313868600064329,-0.24535790933131751,0.22693726826366317,0.11571289885046931,-0.22699158555097076,train
43,0.12739359548266171,-0.43003022189066153,0.04310562923060757,0.0008307527405799764,0.2920318005610659,-0.018933450559395437,train
44,0.07798363282563248,0.32409352567382943,-0.0795752619444069,-0.03703851468317254,-0.08675973200072384,-0.19301109110136927,train
45,-0.5919947231985051,-0.1524021839016494,-0.3286380291086539,0.6838503353898486,0.545707501827319,-0.17507290730132352,train
46,-0.33195577843041313,-0.486130685796763,0.571306164135883,0.07640406232119157,,-0.7572235021956634,train
