column,n_total,n_missing,missing_ratio_actual,n_observed,mean,std,min,25%,50%,75%,max
0,200,52,0.26,148,-0.008873881188696395,0.4591832249074744,-1.3107550139441002,-0.30181154760351975,-0.025933414850530898,0.2787766858954023,1.1880485983859304
1,200,41,0.205,159,0.0033941698090262577,0.4872655778177834,-1.1041270456771866,-0.33102400500913776,0.0044079227359935,0.3236734088307198,1.2972085860873277
2,200,40,0.2,160,-0.017227787191687206,0.49718774116525566,-1.227635693290288,-0.29038130971677134,-0.019823311157782103,0.21587553504565052,1.8469116645171928
3,200,35,0.175,165,-0.007279246064048747,0.4913893202856085,-1.3105086989422294,-0.3513885065987415,0.0017095887552925,0.3070865362428276,1.1701436499106692
4,200,34,0.17,166,-0.00922819767739343,0.46677403045075994,-1.2311348794045698,-0.3013257547525302,-0.03724213660454205,0.30793925409420614,1.297558739623274
5,200,46,0.23,154,-0.00878427321602343,0.42915491317273713,-1.0698443110871871,-0.31796533148608064,-0.0134685230398065,0.24597014332064965,1.0326983328496733
