column,n_total,n_missing,missing_ratio_actual,n_observed,mean,std,min,25%,50%,75%,max
0,200,66,0.33,134,-0.029350681776309905,0.48005977677756634,-1.1622521381523507,-0.3624300146254609,-0.03444292640694095,0.24050600609388492,1.1791885052061666
1,200,61,0.305,139,0.008383587651458645,0.5224028429274926,-1.120432099962812,-0.3230723623938613,0.0152897123792776,0.3382939714663224,1.5768140726246622
2,200,61,0.305,139,-0.014777613109454395,0.5350241543113883,-1.4656592980561212,-0.34215193811694056,-0.0244488854592805,0.2706905210449936,1.858150722785593
3,200,59,0.295,141,0.004261974457503225,0.5249095253213528,-1.4239782143827062,-0.362474721673538,-0.0395711169554231,0.3330652714863791,1.552045034099711
4,200,51,0.255,149,0.013007995267147143,0.4879834649457889,-1.23659023089843,-0.2929674525315007,-0.0032598454656428,0.3750163902488834,1.287847467637248
5,200,68,0.34,132,-0.018278329586840395,0.46991581442677494,-1.0852894012526912,-0.34720237805403015,-0.0400099805915513,0.26748995958757954,1.078962428064861
